algorithm,join_ratio,rep,initial_accuracy_r0,final_accuracy_r50,best_accuracy_round_series,best_accuracy_round,normalized_aulc,gain_r0_to_r10,gain_r0_to_r20,mean_gain_per_round_r0_r10,absolute_threshold,first_round_absolute,sustained_round_absolute,accuracy_round_10,accuracy_round_20,accuracy_round_30,accuracy_round_40,accuracy_round_50,relative_threshold_90,first_round_relative_90,sustained_round_relative_90,relative_threshold_95,first_round_relative_95,sustained_round_relative_95,relative_threshold_99,first_round_relative_99,sustained_round_relative_99
FedProx,0.5,rep4,0.0569,0.6531,0.7119,39,0.6348699999999999,0.5656000000000001,0.6159,0.05656000000000001,0.65,16.0,20.0,0.6225,0.6728,0.6938,0.7076,0.6531,0.64071,15.0,18.0,0.6763049999999999,21.0,,0.704781,37.0,
FedProx,0.5,rep5,0.0569,0.7163,0.7163,50,0.63137,0.47990000000000005,0.6265000000000001,0.047990000000000005,0.65,13.0,39.0,0.5368,0.6834,0.6277,0.6731,0.7163,0.6446700000000001,13.0,39.0,0.680485,18.0,50.0,0.709137,48.0,50.0
FedProx,0.75,rep1,0.0569,0.6981,0.7169,49,0.650162,0.5705,0.6217,0.057050000000000003,0.65,14.0,14.0,0.6274,0.6786,0.7024,0.7039,0.6981,0.64521,14.0,14.0,0.681055,22.0,22.0,0.709731,43.0,
FedProx,0.75,rep2,0.0569,0.7131,0.7159,48,0.647988,0.5702,0.6262000000000001,0.05702,0.65,12.0,12.0,0.6271,0.6831,0.6895,0.7104,0.7131,0.64431,11.0,11.0,0.680105,19.0,22.0,0.708741,40.0,48.0
FedProx,0.75,rep3,0.0569,0.7178,0.7178,50,0.653249,0.5818000000000001,0.62,0.05818000000000001,0.65,13.0,13.0,0.6387,0.6769,0.6995,0.7045,0.7178,0.64602,12.0,12.0,0.68191,23.0,25.0,0.710622,47.0,50.0
FedProx,0.75,rep4,0.0569,0.7125,0.7125,50,0.6426919999999999,0.5563,0.6242000000000001,0.05563,0.65,12.0,14.0,0.6132,0.6811,0.7015,0.6982,0.7125,0.64125,12.0,12.0,0.676875,20.0,34.0,0.705375,38.0,50.0
FedProx,0.75,rep5,0.0569,0.7059,0.7119,49,0.646446,0.5688000000000001,0.6246,0.05688000000000001,0.65,12.0,12.0,0.6257,0.6815,0.7017,0.7025,0.7059,0.64071,11.0,11.0,0.6763049999999999,20.0,38.0,0.704781,34.0,47.0
FedProx,1.0,rep1,0.0569,0.7161,0.7161,50,0.657808,0.5800000000000001,0.6258,0.05800000000000001,0.65,12.0,12.0,0.6369,0.6827,0.6978,0.7083,0.7161,0.64449,12.0,12.0,0.680295,19.0,19.0,0.708939,41.0,41.0
FedProx,1.0,rep2,0.0569,0.7146,0.715,48,0.6585770000000001,0.5852,0.6242000000000001,0.05852,0.65,12.0,12.0,0.6421,0.6811,0.6981,0.7089,0.7146,0.6435,11.0,11.0,0.6792499999999999,19.0,19.0,0.70785,40.0,40.0
FedProx,1.0,rep3,0.0569,0.7155,0.7155,50,0.65911,0.5844,0.6255000000000001,0.058440000000000006,0.65,12.0,12.0,0.6413,0.6824,0.6987,0.7097,0.7155,0.64395,11.0,11.0,0.679725,19.0,19.0,0.708345,39.0,39.0
