algorithm,join_ratio,rep,planned_run,exit_code,global_rounds_parameter,logged_evaluations,local_epochs,batch_size,learning_rate,best_accuracy_from_rounds,best_accuracy_round,best_accuracy_reported,final_accuracy_round_50,initial_accuracy_round_0,total_time_reported_s,sum_iteration_time_s,monitor_samples,monitor_duration_s,cpu_util_fraction_mean,gpu_util_fraction_mean,estimated_power_mean_w,estimated_power_peak_w,estimated_energy_j
FedProx,0.1,rep1,True,0,50,51,5,10,0.005,0.6943,30,0.6943428571428572,0.456,0.0569,1573.02,1568.570161819458,1576,1576.0,0.12476372937817258,0.6606154822335026,14.477610763007613,17.39375,22816.714562499998
FedProx,0.1,rep2,True,0,50,51,5,10,0.005,0.6963,33,0.6963428571428572,0.6598,0.0569,1663.97,1660.0682878494263,1665,1665.0,0.12500607357357357,0.6644804804804806,14.519895908408408,17.59375,24175.6266875
FedProx,0.1,rep3,True,0,50,51,5,10,0.005,0.7018,45,0.7018285714285715,0.5607,0.0569,2102.08,2097.3712022304535,2103,2103.0,0.12501737993342843,0.5781169757489301,13.656430456490728,17.65625,28719.473250000003
FedProx,0.1,rep4,True,0,50,51,5,10,0.005,0.709,50,0.7090285714285715,0.709,0.0569,1765.78,1759.7236666679382,1768,1768.0,0.1250000636312217,0.7020757918552036,14.895758873020363,17.69375,26335.7016875
FedProx,0.1,rep5,True,0,50,51,5,10,0.005,0.692,43,0.692,0.6865,0.0569,1974.36,1969.6939733028412,1974,1974.0,0.12500893490374873,0.746742654508612,15.342560568642352,17.793750000000003,30286.2145625
FedProx,0.25,rep1,True,0,50,51,5,10,0.005,0.7129,48,0.7128571428571429,0.6528,0.0569,2959.57,2954.4100539684296,2959,2959.0,0.12496669905373436,0.7603717472118959,15.478217957924976,17.793750000000003,45800.0469375
FedProx,0.25,rep2,True,0,50,51,5,10,0.005,0.7031,40,0.7030857142857143,0.6987,0.0569,2848.22,2843.1442532539368,2847,2847.0,0.12495882068844398,0.7412328767123287,15.286711077449947,17.69375,43521.2664375
FedProx,0.25,rep3,True,0,50,51,5,10,0.005,0.7054,37,0.7054285714285714,0.6431,0.0569,2886.19,2881.4310948848724,2885,2885.0,0.12495225736568458,0.7495667244367418,15.369951104852689,17.69375,44342.308937500005
FedProx,0.25,rep4,True,0,50,51,5,10,0.005,0.7061,50,0.7060571428571428,0.7061,0.0569,3388.22,3382.934888124466,3385,3385.0,0.12497163589364844,0.7985760709010339,15.860335247415065,17.793750000000003,53687.2348125
FedProx,0.25,rep5,True,0,50,51,5,10,0.005,0.7046,47,0.7045714285714286,0.6854,0.0569,5545.05,5540.524121999741,5538,5538.0,0.12499330985915491,0.8796767786204406,16.67166743409173,17.793750000000003,92327.69425
FedProx,0.5,rep1,True,0,50,51,5,10,0.005,0.7093,46,0.7092571428571428,0.7089,0.0569,5395.59,5390.563860416412,5388,5388.0,0.1249423139383816,0.7192761692650335,15.066896401726057,17.75625,81180.4378125
FedProx,0.5,rep2,True,0,50,51,5,10,0.005,0.7109,49,0.7108571428571429,0.7038,0.0569,5614.89,5609.509968280792,5607,5607.0,0.12494479668271803,0.832825040128411,16.20242235152488,17.793750000000003,90846.98212500001
FedProx,0.5,rep3,True,0,50,51,5,10,0.005,0.7134,44,0.7134285714285714,0.6686,0.0569,6161.27,6156.263686418533,6153,6153.0,0.1249567243620998,0.850836990086137,16.382720766292866,17.793750000000003,100802.880875
FedProx,0.5,rep4,True,0,50,51,5,10,0.005,0.7119,39,0.7118857142857142,0.6531,0.0569,4719.81,4715.0918509960175,4715,4715.0,0.12492612672322374,0.75935737009544,15.467465601802758,17.793750000000003,72929.1003125
FedProx,0.5,rep5,True,0,50,51,5,10,0.005,0.7163,50,0.7163428571428572,0.7163,0.0569,4861.02,4856.855230808258,4855,4855.0,0.12494860968074152,0.671849639546859,14.59272554067971,17.675,70847.6825
FedProx,0.75,rep1,True,0,50,51,5,10,0.005,0.7169,49,0.7168571428571429,0.6981,0.0569,6192.09,6186.964450836182,6185,6185.0,0.12491921382376718,0.7507113985448666,15.380902192805173,17.69375,95130.8800625
FedProx,0.75,rep2,True,0,50,51,5,10,0.005,0.7159,48,0.7158857142857142,0.7131,0.0569,6215.77,6211.5341765880585,6207,6207.0,0.12491108425970678,0.7635057193491219,15.508723457386822,17.775,96262.6465
FedProx,0.75,rep3,True,0,50,51,5,10,0.005,0.7178,50,0.7177714285714286,0.7178,0.0569,5994.88,5990.2302787303925,5988,5988.0,0.12493475701402806,0.7077788911155645,14.951810266366062,17.65625,89531.43987499998
FedProx,0.75,rep4,True,0,50,51,5,10,0.005,0.7125,50,0.7124571428571429,0.7125,0.0569,6602.88,6598.493405342102,6593,6593.0,0.12492521424237829,0.6992992567875019,14.866870781510693,17.675,98017.2790625
FedProx,0.75,rep5,True,0,50,51,5,10,0.005,0.7119,49,0.7119428571428571,0.7059,0.0569,6031.97,6028.069512605667,6025,6025.0,0.12493245643153526,0.7327053941908712,15.201040788381743,17.65625,91586.27075
FedProx,1.0,rep1,True,0,50,51,5,10,0.005,0.7161,50,0.7160571428571428,0.7161,0.0569,7760.34,7756.210757255554,7750,7750.0,0.12492091451612904,0.7232051612903226,15.10586533064516,17.575,117070.4563125
FedProx,1.0,rep2,True,0,50,51,5,10,0.005,0.715,48,0.7150285714285715,0.7146,0.0569,8641.72,8635.872504472733,8628,8628.0,0.12493200770746407,0.7367431617987946,15.241411733599907,17.775,131502.9004375
FedProx,1.0,rep3,True,0,50,51,5,10,0.005,0.7155,50,0.7154857142857143,0.7155,0.0569,7868.58,7864.3133199214935,7858,7858.0,0.12491802621532196,0.7334538050394503,15.208308443624333,17.775,119506.88775000001
FedProx,1.0,rep4,True,0,50,51,5,10,0.005,0.7148,50,0.7148,0.7148,0.0569,8218.02,8213.106874227524,8205,8205.0,0.12491386806825108,0.7887653869591712,15.761361890615477,17.775,129321.9743125
FedProx,1.0,rep5,True,0,50,51,5,10,0.005,0.717,49,0.7170285714285715,0.7157,0.0569,10441.76,10437.421101808548,10424,10424.0,0.1249451662029931,0.8214965464313122,16.08914295735802,17.793750000000003,167713.2261875
SCAFFOLD,0.1,rep1,True,0,50,51,5,10,0.005,0.742,50,0.742,0.742,0.0569,1372.13,1367.5125350952148,1375,1375.0,0.12471099090909092,0.6442327272727273,14.312992136363638,17.775,19680.364187500003
SCAFFOLD,0.1,rep2,True,0,50,51,5,10,0.005,0.7337,49,0.7336571428571429,0.6861,0.0569,1362.05,1357.4075541496277,1364,1364.0,0.12500559934017594,0.6186510263929618,14.061594254032258,17.375,19180.0145625
SCAFFOLD,0.1,rep3,True,0,50,51,5,10,0.005,0.7383,39,0.7383428571428572,0.6984,0.0569,1383.29,1378.4783713817596,1385,1385.0,0.12500009927797834,0.619870036101083,14.073701850180505,17.375,19492.0770625
SCAFFOLD,0.1,rep4,True,0,50,51,5,10,0.005,0.7293,43,0.7293142857142857,0.7243,0.0569,1376.02,1371.2161288261414,1378,1378.0,0.12500098875181423,0.6224455732946299,14.09947056422351,17.675,19429.0704375
SCAFFOLD,0.1,rep5,True,0,50,51,5,10,0.005,0.7265,39,0.7265142857142857,0.6705,0.0569,1375.56,1370.5417058467865,1378,1378.0,0.1250010431785196,0.6149927431059506,14.024943078737302,17.09375,19326.3715625
SCAFFOLD,0.25,rep1,True,0,50,51,5,10,0.005,0.7329,38,0.7328571428571429,0.7297,0.0569,2322.23,2317.086841106415,2323,2323.0,0.12495487516142918,0.6925441239776152,14.79976436719759,17.775,34379.852625
SCAFFOLD,0.25,rep2,True,0,50,51,5,10,0.005,0.7373,50,0.7372571428571428,0.7373,0.0569,2354.22,2349.235507965088,2355,2355.0,0.12494064225053078,0.6916518046709129,14.790627680467091,17.675,34831.9281875
SCAFFOLD,0.25,rep3,True,0,50,51,5,10,0.005,0.7378,44,0.7377714285714285,0.724,0.0569,2822.2,2816.9585149288177,2821,2821.0,0.12495263204537396,0.640074441687345,14.275033897554058,17.675,40269.870624999996
SCAFFOLD,0.25,rep4,True,0,50,51,5,10,0.005,0.743,36,0.7429714285714286,0.7381,0.0569,2465.43,2459.883577823639,2466,2466.0,0.12493874695863746,0.715,15.024081204379563,17.675,37049.38425
SCAFFOLD,0.25,rep5,True,0,50,51,5,10,0.005,0.7452,48,0.7452,0.7201,0.0569,2384.23,2379.3781740665436,2384,2384.0,0.12494004823825504,0.702751677852349,14.901617502097315,17.575,35525.456125
